dataset,model,seed,accuracy
mnist,random_features_linear,1,0.6717
mnist,pca_features_linear,1,0.4451
mnist,mlp_dropout,1,0.8499
mnist,random_features_linear,2,0.7028
mnist,pca_features_linear,2,0.2469
mnist,mlp_dropout,2,0.8454
mnist,random_features_linear,3,0.705
mnist,pca_features_linear,3,0.2505
mnist,mlp_dropout,3,0.8518
mnist,random_features_linear,4,0.6543
mnist,pca_features_linear,4,0.2866
mnist,mlp_dropout,4,0.8532
fashion_mnist,random_features_linear,0,0.6207
fashion_mnist,pca_features_linear,0,0.1345
fashion_mnist,mlp_dropout,0,0.7027
fashion_mnist,random_features_linear,1,0.5767
fashion_mnist,pca_features_linear,1,0.3635
fashion_mnist,mlp_dropout,1,0.7106
fashion_mnist,random_features_linear,2,0.5935
fashion_mnist,pca_features_linear,2,0.3855
fashion_mnist,mlp_dropout,2,0.7026
fashion_mnist,random_features_linear,3,0.6193
fashion_mnist,pca_features_linear,3,0.3785
fashion_mnist,mlp_dropout,3,0.7124
fashion_mnist,random_features_linear,4,0.6015
fashion_mnist,pca_features_linear,4,0.303
fashion_mnist,mlp_dropout,4,0.7012
mnist,standard_cnn,0,0.9715
mnist,standard_cnn,1,0.9762
mnist,standard_cnn,2,0.9752
mnist,standard_cnn,3,0.9725
mnist,standard_cnn,4,0.9743
fashion_mnist,standard_cnn,0,0.8426
fashion_mnist,standard_cnn,1,0.8417
fashion_mnist,standard_cnn,2,0.8319
fashion_mnist,standard_cnn,3,0.8314
fashion_mnist,standard_cnn,4,0.8386
digits,standard_cnn,0,0.9777777777777776
digits,standard_cnn,1,0.9722222222222222
digits,standard_cnn,2,0.975
digits,standard_cnn,3,0.9638888888888888
digits,standard_cnn,4,0.9805555555555556
digits,homeostatic_sparse_oja,0,0.8166666666666667
digits,homeostatic_sparse_oja,1,0.8138888888888889
digits,homeostatic_sparse_oja,2,0.7916666666666666
digits,homeostatic_sparse_oja,3,0.8472222222222222
digits,homeostatic_sparse_oja,4,0.8055555555555556
mnist,homeostatic_sparse_oja,0,0.1677
mnist,homeostatic_sparse_oja,1,0.189
mnist,homeostatic_sparse_oja,2,0.1898
mnist,homeostatic_sparse_oja,3,0.14
mnist,homeostatic_sparse_oja,4,0.1547
fashion_mnist,homeostatic_sparse_oja,0,0.1851
fashion_mnist,homeostatic_sparse_oja,1,0.1722
fashion_mnist,homeostatic_sparse_oja,2,0.4657
fashion_mnist,homeostatic_sparse_oja,3,0.1857
fashion_mnist,homeostatic_sparse_oja,4,0.224
