dataset,seed,feature_source,readout,accuracy,feature_sparsity,feature_train_time_s,readout_train_time_s,train_subset_n,test_subset_n,status,error
mnist,4,raw_pixels,knn5,0.896,0.0,0.0009891986846923,1.3531639575958252,2000,1000,ok,
mnist,4,raw_pixels,small_mlp,0.904,0.0,0.0009891986846923,4.498444557189941,2000,1000,ok,
mnist,5,oja,logreg,0.62,0.0936640625,2.290489435195923,0.4729406833648681,2000,1000,ok,
mnist,5,oja,ridge,0.82,0.0936640625,2.290489435195923,0.0046038627624511,2000,1000,ok,
mnist,5,oja,linear_svm,0.386,0.0936640625,2.290489435195923,0.3341851234436035,2000,1000,ok,
mnist,5,oja,knn5,0.613,0.0936640625,2.290489435195923,1.0613749027252195,2000,1000,ok,
mnist,5,oja,small_mlp,0.246,0.0936640625,2.290489435195923,0.1421699523925781,2000,1000,ok,
mnist,5,sparse_oja,logreg,0.131,0.8984375,2.497183084487915,0.5894854068756104,2000,1000,ok,
mnist,5,sparse_oja,ridge,0.257,0.8984375,2.497183084487915,0.0041594505310058,2000,1000,ok,
mnist,5,sparse_oja,linear_svm,0.141,0.8984375,2.497183084487915,0.3857302665710449,2000,1000,ok,
mnist,5,sparse_oja,knn5,0.189,0.8984375,2.497183084487915,1.0895774364471436,2000,1000,ok,
mnist,5,sparse_oja,small_mlp,0.098,0.8984375,2.497183084487915,0.1259822845458984,2000,1000,ok,
mnist,5,homeostatic_sparse_oja,logreg,0.136,0.8984375,2.4014201164245605,0.5521378517150879,2000,1000,ok,
mnist,5,homeostatic_sparse_oja,ridge,0.266,0.8984375,2.4014201164245605,0.005272626876831,2000,1000,ok,
mnist,5,homeostatic_sparse_oja,linear_svm,0.148,0.8984375,2.4014201164245605,0.3486151695251465,2000,1000,ok,
mnist,5,homeostatic_sparse_oja,knn5,0.188,0.8984375,2.4014201164245605,1.0768308639526367,2000,1000,ok,
mnist,5,homeostatic_sparse_oja,small_mlp,0.097,0.8984375,2.4014201164245605,0.1308910846710205,2000,1000,ok,
mnist,5,raw_pixels,logreg,0.837,0.0,0.0007500648498535,2.5470919609069824,2000,1000,ok,
mnist,5,raw_pixels,ridge,0.808,0.0,0.0007500648498535,0.3862624168395996,2000,1000,ok,
mnist,5,raw_pixels,linear_svm,0.833,0.0,0.0007500648498535,0.805201530456543,2000,1000,ok,
mnist,5,raw_pixels,knn5,0.908,0.0,0.0007500648498535,1.5986921787261963,2000,1000,ok,
mnist,5,raw_pixels,small_mlp,0.891,0.0,0.0007500648498535,2.085377693176269,2000,1000,ok,
mnist,6,oja,logreg,0.527,0.1168359375,2.089510679244995,0.4727458953857422,2000,1000,ok,
mnist,6,oja,ridge,0.806,0.1168359375,2.089510679244995,0.0043282508850097,2000,1000,ok,
mnist,6,oja,linear_svm,0.38,0.1168359375,2.089510679244995,0.3551549911499023,2000,1000,ok,
mnist,6,oja,knn5,0.603,0.1168359375,2.089510679244995,1.1431834697723389,2000,1000,ok,
mnist,6,oja,small_mlp,0.551,0.1168359375,2.089510679244995,0.3063466548919678,2000,1000,ok,
mnist,6,sparse_oja,logreg,0.247,0.8984375,2.985460996627808,0.7705519199371338,2000,1000,ok,
mnist,6,sparse_oja,ridge,0.325,0.8984375,2.985460996627808,0.0055751800537109,2000,1000,ok,
mnist,6,sparse_oja,linear_svm,0.188,0.8984375,2.985460996627808,0.4169654846191406,2000,1000,ok,
mnist,6,sparse_oja,knn5,0.22,0.8984375,2.985460996627808,1.2786870002746582,2000,1000,ok,
mnist,6,sparse_oja,small_mlp,0.1,0.8984375,2.985460996627808,0.0355279445648193,2000,1000,ok,
mnist,6,homeostatic_sparse_oja,logreg,0.23,0.8984375,2.4956371784210205,0.6276459693908691,2000,1000,ok,
mnist,6,homeostatic_sparse_oja,ridge,0.337,0.8984375,2.4956371784210205,0.0058557987213134,2000,1000,ok,
mnist,6,homeostatic_sparse_oja,linear_svm,0.24,0.8984375,2.4956371784210205,0.357558012008667,2000,1000,ok,
mnist,6,homeostatic_sparse_oja,knn5,0.227,0.8984375,2.4956371784210205,1.0955820083618164,2000,1000,ok,
mnist,6,homeostatic_sparse_oja,small_mlp,0.1,0.8984375,2.4956371784210205,0.1072940826416015,2000,1000,ok,
mnist,6,raw_pixels,logreg,0.833,0.0,0.0009362697601318,2.16775894165039,2000,1000,ok,
mnist,6,raw_pixels,ridge,0.819,0.0,0.0009362697601318,0.3257815837860107,2000,1000,ok,
mnist,6,raw_pixels,linear_svm,0.826,0.0,0.0009362697601318,0.7199695110321045,2000,1000,ok,
mnist,6,raw_pixels,knn5,0.905,0.0,0.0009362697601318,1.3620762825012207,2000,1000,ok,
mnist,6,raw_pixels,small_mlp,0.891,0.0,0.0009362697601318,2.9991559982299805,2000,1000,ok,
mnist,7,oja,logreg,0.525,0.1149140625,2.9921815395355225,0.4858841896057129,2000,1000,ok,
mnist,7,oja,ridge,0.789,0.1149140625,2.9921815395355225,0.0050439834594726,2000,1000,ok,
mnist,7,oja,linear_svm,0.252,0.1149140625,2.9921815395355225,0.2501969337463379,2000,1000,ok,
mnist,7,oja,knn5,0.601,0.1149140625,2.9921815395355225,1.0548937320709229,2000,1000,ok,
mnist,7,oja,small_mlp,0.168,0.1149140625,2.9921815395355225,0.1310844421386718,2000,1000,ok,
mnist,7,sparse_oja,logreg,0.131,0.8984375,4.009455442428589,0.7212533950805664,2000,1000,ok,
mnist,7,sparse_oja,ridge,0.311,0.8984375,4.009455442428589,0.006113052368164,2000,1000,ok,
mnist,7,sparse_oja,linear_svm,0.183,0.8984375,4.009455442428589,0.4267530441284179,2000,1000,ok,
mnist,7,sparse_oja,knn5,0.25,0.8984375,4.009455442428589,1.225515842437744,2000,1000,ok,
mnist,7,sparse_oja,small_mlp,0.18,0.8984375,4.009455442428589,0.210360050201416,2000,1000,ok,
mnist,7,homeostatic_sparse_oja,logreg,0.131,0.8984375,3.100796937942505,0.6845636367797852,2000,1000,ok,
mnist,7,homeostatic_sparse_oja,ridge,0.322,0.8984375,3.100796937942505,0.0056869983673095,2000,1000,ok,
mnist,7,homeostatic_sparse_oja,linear_svm,0.227,0.8984375,3.100796937942505,0.3610849380493164,2000,1000,ok,
mnist,7,homeostatic_sparse_oja,knn5,0.268,0.8984375,3.100796937942505,1.2271573543548584,2000,1000,ok,
mnist,7,homeostatic_sparse_oja,small_mlp,0.228,0.8984375,3.100796937942505,0.1330587863922119,2000,1000,ok,
mnist,7,raw_pixels,logreg,0.849,0.0,0.0007135868072509,2.618662118911743,2000,1000,ok,
mnist,7,raw_pixels,ridge,0.794,0.0,0.0007135868072509,0.3403878211975097,2000,1000,ok,
mnist,7,raw_pixels,linear_svm,0.85,0.0,0.0007135868072509,0.7436964511871338,2000,1000,ok,
mnist,7,raw_pixels,knn5,0.915,0.0,0.0007135868072509,1.4471147060394287,2000,1000,ok,
mnist,7,raw_pixels,small_mlp,0.887,0.0,0.0007135868072509,7.293933153152466,2000,1000,ok,
mnist,8,oja,logreg,0.579,0.1023515625,2.98673152923584,0.4299192428588867,2000,1000,ok,
mnist,8,oja,ridge,0.834,0.1023515625,2.98673152923584,0.0047292709350585,2000,1000,ok,
mnist,8,oja,linear_svm,0.548,0.1023515625,2.98673152923584,0.2846448421478271,2000,1000,ok,
mnist,8,oja,knn5,0.559,0.1023515625,2.98673152923584,1.2503652572631836,2000,1000,ok,
mnist,8,oja,small_mlp,0.398,0.1023515625,2.98673152923584,0.2130627632141113,2000,1000,ok,
mnist,8,sparse_oja,logreg,0.227,0.8984375,2.8023977279663086,0.6775956153869629,2000,1000,ok,
mnist,8,sparse_oja,ridge,0.343,0.8984375,2.8023977279663086,0.0049216747283935,2000,1000,ok,
mnist,8,sparse_oja,linear_svm,0.161,0.8984375,2.8023977279663086,0.4250316619873047,2000,1000,ok,
mnist,8,sparse_oja,knn5,0.237,0.8984375,2.8023977279663086,1.3691883087158203,2000,1000,ok,
mnist,8,sparse_oja,small_mlp,0.105,0.8984375,2.8023977279663086,0.0987155437469482,2000,1000,ok,
mnist,8,homeostatic_sparse_oja,logreg,0.238,0.8984375,2.9010908603668213,0.6553237438201904,2000,1000,ok,
mnist,8,homeostatic_sparse_oja,ridge,0.344,0.8984375,2.9010908603668213,0.0047705173492431,2000,1000,ok,
mnist,8,homeostatic_sparse_oja,linear_svm,0.177,0.8984375,2.9010908603668213,0.3380239009857178,2000,1000,ok,
mnist,8,homeostatic_sparse_oja,knn5,0.235,0.8984375,2.9010908603668213,1.1812992095947266,2000,1000,ok,
mnist,8,homeostatic_sparse_oja,small_mlp,0.104,0.8984375,2.9010908603668213,0.1437537670135498,2000,1000,ok,
mnist,8,raw_pixels,logreg,0.848,0.0,0.0014374256134033,2.4414846897125244,2000,1000,ok,
mnist,8,raw_pixels,ridge,0.804,0.0,0.0014374256134033,0.3896119594573974,2000,1000,ok,
mnist,8,raw_pixels,linear_svm,0.845,0.0,0.0014374256134033,0.7402465343475342,2000,1000,ok,
mnist,8,raw_pixels,knn5,0.917,0.0,0.0014374256134033,1.5599040985107422,2000,1000,ok,
mnist,8,raw_pixels,small_mlp,0.913,0.0,0.0014374256134033,5.200762987136841,2000,1000,ok,
mnist,9,oja,logreg,0.521,0.106515625,2.8906397819519043,0.4313344955444336,2000,1000,ok,
mnist,9,oja,ridge,0.814,0.106515625,2.8906397819519043,0.0049471855163574,2000,1000,ok,
mnist,9,oja,linear_svm,0.563,0.106515625,2.8906397819519043,0.3069462776184082,2000,1000,ok,
mnist,9,oja,knn5,0.59,0.106515625,2.8906397819519043,1.146440029144287,2000,1000,ok,
mnist,9,oja,small_mlp,0.422,0.106515625,2.8906397819519043,0.2104923725128173,2000,1000,ok,
mnist,9,sparse_oja,logreg,0.115,0.8984375,3.5878076553344727,0.7084527015686035,2000,1000,ok,
mnist,9,sparse_oja,ridge,0.42,0.8984375,3.5878076553344727,0.0054116249084472,2000,1000,ok,
mnist,9,sparse_oja,linear_svm,0.115,0.8984375,3.5878076553344727,0.4378950595855713,2000,1000,ok,
mnist,9,sparse_oja,knn5,0.241,0.8984375,3.5878076553344727,1.2202062606811523,2000,1000,ok,
mnist,9,sparse_oja,small_mlp,0.113,0.8984375,3.5878076553344727,0.1512660980224609,2000,1000,ok,
mnist,9,homeostatic_sparse_oja,logreg,0.161,0.8984375,2.7992095947265625,0.679755687713623,2000,1000,ok,
mnist,9,homeostatic_sparse_oja,ridge,0.435,0.8984375,2.7992095947265625,0.0051798820495605,2000,1000,ok,
mnist,9,homeostatic_sparse_oja,linear_svm,0.195,0.8984375,2.7992095947265625,0.4006578922271728,2000,1000,ok,
mnist,9,homeostatic_sparse_oja,knn5,0.255,0.8984375,2.7992095947265625,1.2882068157196045,2000,1000,ok,
mnist,9,homeostatic_sparse_oja,small_mlp,0.153,0.8984375,2.7992095947265625,0.1569108963012695,2000,1000,ok,
mnist,9,raw_pixels,logreg,0.853,0.0,0.0005929470062255,2.559446334838867,2000,1000,ok,
mnist,9,raw_pixels,ridge,0.825,0.0,0.0005929470062255,0.2581470012664795,2000,1000,ok,
mnist,9,raw_pixels,linear_svm,0.847,0.0,0.0005929470062255,0.8602027893066406,2000,1000,ok,
mnist,9,raw_pixels,knn5,0.912,0.0,0.0005929470062255,1.348337173461914,2000,1000,ok,
mnist,9,raw_pixels,small_mlp,0.913,0.0,0.0005929470062255,4.484239816665649,2000,1000,ok,
fashion_mnist,0,oja,logreg,0.326,0.1571484375,3.2221295833587646,0.3890578746795654,2000,1000,ok,
fashion_mnist,0,oja,ridge,0.754,0.1571484375,3.2221295833587646,0.0052881240844726,2000,1000,ok,
fashion_mnist,0,oja,linear_svm,0.382,0.1571484375,3.2221295833587646,0.3802442550659179,2000,1000,ok,
fashion_mnist,0,oja,knn5,0.482,0.1571484375,3.2221295833587646,1.2961347103118896,2000,1000,ok,
fashion_mnist,0,oja,small_mlp,0.134,0.1571484375,3.2221295833587646,0.1086652278900146,2000,1000,ok,
fashion_mnist,0,sparse_oja,logreg,0.272,0.8984375,3.0816805362701416,0.6950182914733887,2000,1000,ok,
fashion_mnist,0,sparse_oja,ridge,0.581,0.8984375,3.0816805362701416,0.0049047470092773,2000,1000,ok,
fashion_mnist,0,sparse_oja,linear_svm,0.27,0.8984375,3.0816805362701416,0.3741416931152344,2000,1000,ok,
fashion_mnist,0,sparse_oja,knn5,0.325,0.8984375,3.0816805362701416,1.2123761177062988,2000,1000,ok,
fashion_mnist,0,sparse_oja,small_mlp,0.098,0.8984375,3.0816805362701416,0.1245989799499511,2000,1000,ok,
fashion_mnist,0,homeostatic_sparse_oja,logreg,0.164,0.8984375,3.397305011749268,0.6238589286804199,2000,1000,ok,
fashion_mnist,0,homeostatic_sparse_oja,ridge,0.576,0.8984375,3.397305011749268,0.0050842761993408,2000,1000,ok,
fashion_mnist,0,homeostatic_sparse_oja,linear_svm,0.147,0.8984375,3.397305011749268,0.3773772716522217,2000,1000,ok,
fashion_mnist,0,homeostatic_sparse_oja,knn5,0.317,0.8984375,3.397305011749268,1.2645232677459717,2000,1000,ok,
fashion_mnist,0,homeostatic_sparse_oja,small_mlp,0.098,0.8984375,3.397305011749268,0.0957274436950683,2000,1000,ok,
fashion_mnist,0,raw_pixels,logreg,0.769,0.0,0.0013649463653564,1.9273943901062007,2000,1000,ok,
fashion_mnist,0,raw_pixels,ridge,0.769,0.0,0.0013649463653564,0.3846971988677978,2000,1000,ok,
fashion_mnist,0,raw_pixels,linear_svm,0.782,0.0,0.0013649463653564,0.8035120964050293,2000,1000,ok,
fashion_mnist,0,raw_pixels,knn5,0.779,0.0,0.0013649463653564,1.6035606861114502,2000,1000,ok,
fashion_mnist,0,raw_pixels,small_mlp,0.809,0.0,0.0013649463653564,8.486783981323242,2000,1000,ok,
fashion_mnist,1,oja,logreg,0.435,0.1486953125,4.181978702545166,0.3247783184051513,2000,1000,ok,
fashion_mnist,1,oja,ridge,0.778,0.1486953125,4.181978702545166,0.0057239532470703,2000,1000,ok,
fashion_mnist,1,oja,linear_svm,0.503,0.1486953125,4.181978702545166,0.3147666454315185,2000,1000,ok,
fashion_mnist,1,oja,knn5,0.564,0.1486953125,4.181978702545166,1.241044998168945,2000,1000,ok,
fashion_mnist,1,oja,small_mlp,0.313,0.1486953125,4.181978702545166,0.1229670047760009,2000,1000,ok,
fashion_mnist,1,sparse_oja,logreg,0.184,0.8984375,3.5968480110168457,0.5581643581390381,2000,1000,ok,
fashion_mnist,1,sparse_oja,ridge,0.62,0.8984375,3.5968480110168457,0.0054943561553955,2000,1000,ok,
fashion_mnist,1,sparse_oja,linear_svm,0.212,0.8984375,3.5968480110168457,0.3352110385894775,2000,1000,ok,
fashion_mnist,1,sparse_oja,knn5,0.42,0.8984375,3.5968480110168457,1.2866618633270264,2000,1000,ok,
fashion_mnist,1,sparse_oja,small_mlp,0.15,0.8984375,3.5968480110168457,0.0482909679412841,2000,1000,ok,
fashion_mnist,1,homeostatic_sparse_oja,logreg,0.201,0.8984375,2.971336126327514,0.5371894836425781,2000,1000,ok,
fashion_mnist,1,homeostatic_sparse_oja,ridge,0.623,0.8984375,2.971336126327514,0.0053789615631103,2000,1000,ok,
fashion_mnist,1,homeostatic_sparse_oja,linear_svm,0.334,0.8984375,2.971336126327514,0.3318934440612793,2000,1000,ok,
fashion_mnist,1,homeostatic_sparse_oja,knn5,0.405,0.8984375,2.971336126327514,1.303290605545044,2000,1000,ok,
fashion_mnist,1,homeostatic_sparse_oja,small_mlp,0.15,0.8984375,2.971336126327514,0.1001434326171875,2000,1000,ok,
fashion_mnist,1,raw_pixels,logreg,0.785,0.0,0.0018622875213623,2.275396585464477,2000,1000,ok,
fashion_mnist,1,raw_pixels,ridge,0.767,0.0,0.0018622875213623,0.2956461906433105,2000,1000,ok,
fashion_mnist,1,raw_pixels,linear_svm,0.796,0.0,0.0018622875213623,0.9254052639007568,2000,1000,ok,
fashion_mnist,1,raw_pixels,knn5,0.776,0.0,0.0018622875213623,1.5715067386627195,2000,1000,ok,
fashion_mnist,1,raw_pixels,small_mlp,0.797,0.0,0.0018622875213623,4.894429445266724,2000,1000,ok,
fashion_mnist,2,oja,logreg,0.386,0.0959453125,2.787158250808716,0.2978162765502929,2000,1000,ok,
fashion_mnist,2,oja,ridge,0.775,0.0959453125,2.787158250808716,0.005800724029541,2000,1000,ok,
fashion_mnist,2,oja,linear_svm,0.421,0.0959453125,2.787158250808716,0.2795720100402832,2000,1000,ok,
fashion_mnist,2,oja,knn5,0.531,0.0959453125,2.787158250808716,1.2872717380523682,2000,1000,ok,
fashion_mnist,2,oja,small_mlp,0.296,0.0959453125,2.787158250808716,0.2172431945800781,2000,1000,ok,
fashion_mnist,2,sparse_oja,logreg,0.141,0.8984375,4.3982017040252686,0.5048420429229736,2000,1000,ok,
fashion_mnist,2,sparse_oja,ridge,0.639,0.8984375,4.3982017040252686,0.0052800178527832,2000,1000,ok,
