dataset,seed,feature_source,readout,accuracy,feature_sparsity,feature_train_time_s,readout_train_time_s,n_train_readout,n_test,hidden_dim,local_epochs,status,error
digits,1,standard_cnn_penultimate,logreg,0.8972222222222223,0.3797309027777777,0.2836763858795166,0.1623682975769043,1437.0,360.0,128.0,5.0,ok,
digits,1,standard_cnn_penultimate,ridge,0.9305555555555556,0.3797309027777777,0.2836763858795166,0.0036573410034179,1437.0,360.0,128.0,5.0,ok,
digits,1,standard_cnn_penultimate,linear_svm,0.9416666666666668,0.3797309027777777,0.2836763858795166,0.1964871883392334,1437.0,360.0,128.0,5.0,ok,
digits,1,standard_cnn_penultimate,knn5,0.9611111111111112,0.3797309027777777,0.2836763858795166,0.7980284690856934,1437.0,360.0,128.0,5.0,ok,
digits,1,standard_cnn_penultimate,small_mlp,0.8583333333333333,0.3797309027777777,0.2836763858795166,0.3243725299835205,1437.0,360.0,128.0,5.0,ok,
digits,2,oja,logreg,0.9583333333333334,0.3296657986111111,0.0682411193847656,1.008955955505371,1437.0,360.0,128.0,5.0,ok,
digits,2,oja,ridge,0.9611111111111112,0.3296657986111111,0.0682411193847656,0.0033223628997802,1437.0,360.0,128.0,5.0,ok,
digits,2,oja,linear_svm,0.9722222222222222,0.3296657986111111,0.0682411193847656,0.2141304016113281,1437.0,360.0,128.0,5.0,ok,
digits,2,oja,knn5,0.9638888888888888,0.3296657986111111,0.0682411193847656,0.8734583854675293,1437.0,360.0,128.0,5.0,ok,
digits,2,oja,small_mlp,0.925,0.3296657986111111,0.0682411193847656,0.4520158767700195,1437.0,360.0,128.0,5.0,ok,
digits,2,sparse_oja,logreg,0.7888888888888889,0.8984375,0.284297227859497,1.2130146026611328,1437.0,360.0,128.0,5.0,ok,
digits,2,sparse_oja,ridge,0.75,0.8984375,0.284297227859497,0.0828132629394531,1437.0,360.0,128.0,5.0,ok,
digits,2,sparse_oja,linear_svm,0.7888888888888889,0.8984375,0.284297227859497,0.0151231288909912,1437.0,360.0,128.0,5.0,ok,
digits,2,sparse_oja,knn5,0.7944444444444444,0.8984375,0.284297227859497,0.9877481460571288,1437.0,360.0,128.0,5.0,ok,
digits,2,sparse_oja,small_mlp,0.6833333333333333,0.8984375,0.284297227859497,0.6171066761016846,1437.0,360.0,128.0,5.0,ok,
digits,2,homeostatic_sparse_oja,logreg,0.7916666666666666,0.8984375,0.2769184112548828,1.0071537494659424,1437.0,360.0,128.0,5.0,ok,
digits,2,homeostatic_sparse_oja,ridge,0.7416666666666667,0.8984375,0.2769184112548828,0.003380537033081,1437.0,360.0,128.0,5.0,ok,
digits,2,homeostatic_sparse_oja,linear_svm,0.7805555555555556,0.8984375,0.2769184112548828,0.091160774230957,1437.0,360.0,128.0,5.0,ok,
digits,2,homeostatic_sparse_oja,knn5,0.775,0.8984375,0.2769184112548828,0.8940238952636719,1437.0,360.0,128.0,5.0,ok,
digits,2,homeostatic_sparse_oja,small_mlp,0.5361111111111111,0.8984375,0.2769184112548828,0.3322792053222656,1437.0,360.0,128.0,5.0,ok,
digits,2,raw_pixels,logreg,0.9555555555555556,0.0,9.34600830078125e-05,0.1688315868377685,1437.0,360.0,128.0,5.0,ok,
digits,2,raw_pixels,ridge,0.9388888888888888,0.0,9.34600830078125e-05,0.0023667812347412,1437.0,360.0,128.0,5.0,ok,
digits,2,raw_pixels,linear_svm,0.9666666666666668,0.0,9.34600830078125e-05,0.0184299945831298,1437.0,360.0,128.0,5.0,ok,
digits,2,raw_pixels,knn5,0.9833333333333332,0.0,9.34600830078125e-05,0.8708271980285645,1437.0,360.0,128.0,5.0,ok,
digits,2,raw_pixels,small_mlp,0.9138888888888888,0.0,9.34600830078125e-05,0.0660188198089599,1437.0,360.0,128.0,5.0,ok,
digits,3,oja,logreg,0.9472222222222222,0.3376302083333333,0.0297820568084716,1.002765655517578,1437.0,360.0,128.0,5.0,ok,
digits,3,oja,ridge,0.9777777777777776,0.3376302083333333,0.0297820568084716,0.0034515857696533,1437.0,360.0,128.0,5.0,ok,
digits,3,oja,linear_svm,0.975,0.3376302083333333,0.0297820568084716,0.2074677944183349,1437.0,360.0,128.0,5.0,ok,
digits,3,oja,knn5,0.9638888888888888,0.3376302083333333,0.0297820568084716,0.5863265991210938,1437.0,360.0,128.0,5.0,ok,
digits,3,oja,small_mlp,0.9027777777777778,0.3376302083333333,0.0297820568084716,0.3501143455505371,1437.0,360.0,128.0,5.0,ok,
digits,3,sparse_oja,logreg,0.8638888888888889,0.8984375,0.1047539710998535,0.9111719131469728,1437.0,360.0,128.0,5.0,ok,
digits,3,sparse_oja,ridge,0.8138888888888889,0.8984375,0.1047539710998535,0.083587646484375,1437.0,360.0,128.0,5.0,ok,
digits,3,sparse_oja,linear_svm,0.8694444444444445,0.8984375,0.1047539710998535,0.013587474822998,1437.0,360.0,128.0,5.0,ok,
digits,3,sparse_oja,knn5,0.7972222222222223,0.8984375,0.1047539710998535,0.9871649742126464,1437.0,360.0,128.0,5.0,ok,
digits,3,sparse_oja,small_mlp,0.7222222222222222,0.8984375,0.1047539710998535,0.319995641708374,1437.0,360.0,128.0,5.0,ok,
digits,3,homeostatic_sparse_oja,logreg,0.8472222222222222,0.8984375,0.2712368965148926,0.810248613357544,1437.0,360.0,128.0,5.0,ok,
digits,3,homeostatic_sparse_oja,ridge,0.8194444444444444,0.8984375,0.2712368965148926,0.0038163661956787,1437.0,360.0,128.0,5.0,ok,
digits,3,homeostatic_sparse_oja,linear_svm,0.8583333333333333,0.8984375,0.2712368965148926,0.0956408977508544,1437.0,360.0,128.0,5.0,ok,
digits,3,homeostatic_sparse_oja,knn5,0.7972222222222223,0.8984375,0.2712368965148926,0.791433572769165,1437.0,360.0,128.0,5.0,ok,
digits,3,homeostatic_sparse_oja,small_mlp,0.65,0.8984375,0.2712368965148926,0.157515287399292,1437.0,360.0,128.0,5.0,ok,
digits,3,raw_pixels,logreg,0.9555555555555556,0.0,8.058547973632812e-05,0.1153030395507812,1437.0,360.0,128.0,5.0,ok,
digits,3,raw_pixels,ridge,0.9388888888888888,0.0,8.058547973632812e-05,0.0026588439941406,1437.0,360.0,128.0,5.0,ok,
digits,3,raw_pixels,linear_svm,0.9666666666666668,0.0,8.058547973632812e-05,0.0834507942199707,1437.0,360.0,128.0,5.0,ok,
digits,3,raw_pixels,knn5,0.9833333333333332,0.0,8.058547973632812e-05,0.796367883682251,1437.0,360.0,128.0,5.0,ok,
digits,3,raw_pixels,small_mlp,0.9472222222222222,0.0,8.058547973632812e-05,0.1548490524291992,1437.0,360.0,128.0,5.0,ok,
digits,4,oja,logreg,0.9583333333333334,0.2505425347222222,0.00870943069458,1.025423288345337,1437.0,360.0,128.0,5.0,ok,
digits,4,oja,ridge,0.9666666666666668,0.2505425347222222,0.00870943069458,0.0041656494140625,1437.0,360.0,128.0,5.0,ok,
digits,4,oja,linear_svm,0.9722222222222222,0.2505425347222222,0.00870943069458,0.2203931808471679,1437.0,360.0,128.0,5.0,ok,
digits,4,oja,knn5,0.9638888888888888,0.2505425347222222,0.00870943069458,0.7788317203521729,1437.0,360.0,128.0,5.0,ok,
digits,4,oja,small_mlp,0.9333333333333332,0.2505425347222222,0.00870943069458,0.4293673038482666,1437.0,360.0,128.0,5.0,ok,
digits,4,sparse_oja,logreg,0.8055555555555556,0.8984375,0.1658318042755127,1.2945139408111572,1437.0,360.0,128.0,5.0,ok,
digits,4,sparse_oja,ridge,0.7833333333333333,0.8984375,0.1658318042755127,0.0032570362091064,1437.0,360.0,128.0,5.0,ok,
digits,4,sparse_oja,linear_svm,0.8277777777777777,0.8984375,0.1658318042755127,0.094144582748413,1437.0,360.0,128.0,5.0,ok,
digits,4,sparse_oja,knn5,0.8083333333333333,0.8984375,0.1658318042755127,0.9049031734466552,1437.0,360.0,128.0,5.0,ok,
digits,4,sparse_oja,small_mlp,0.6277777777777778,0.8984375,0.1658318042755127,0.4118802547454834,1437.0,360.0,128.0,5.0,ok,
digits,4,homeostatic_sparse_oja,logreg,0.8083333333333333,0.8984375,0.5787110328674316,1.09753155708313,1437.0,360.0,128.0,5.0,ok,
digits,4,homeostatic_sparse_oja,ridge,0.7972222222222223,0.8984375,0.5787110328674316,0.0039288997650146,1437.0,360.0,128.0,5.0,ok,
digits,4,homeostatic_sparse_oja,linear_svm,0.8388888888888889,0.8984375,0.5787110328674316,0.0148391723632812,1437.0,360.0,128.0,5.0,ok,
digits,4,homeostatic_sparse_oja,knn5,0.8111111111111111,0.8984375,0.5787110328674316,0.8853731155395508,1437.0,360.0,128.0,5.0,ok,
digits,4,homeostatic_sparse_oja,small_mlp,0.5861111111111111,0.8984375,0.5787110328674316,0.3396248817443847,1437.0,360.0,128.0,5.0,ok,
digits,4,raw_pixels,logreg,0.9555555555555556,0.0,7.176399230957031e-05,0.1633582115173339,1437.0,360.0,128.0,5.0,ok,
digits,4,raw_pixels,ridge,0.9388888888888888,0.0,7.176399230957031e-05,0.0023150444030761,1437.0,360.0,128.0,5.0,ok,
digits,4,raw_pixels,linear_svm,0.9666666666666668,0.0,7.176399230957031e-05,0.0887453556060791,1437.0,360.0,128.0,5.0,ok,
digits,4,raw_pixels,knn5,0.9833333333333332,0.0,7.176399230957031e-05,0.8994779586791992,1437.0,360.0,128.0,5.0,ok,
digits,4,raw_pixels,small_mlp,0.9361111111111112,0.0,7.176399230957031e-05,0.1553957462310791,1437.0,360.0,128.0,5.0,ok,
mnist,0,ALL,ALL,,,,,,,,,failed_missing_data,"FileNotFoundError(2, 'No such file or directory')"
fashion_mnist,0,ALL,ALL,,,,,,,,,failed_missing_data,"FileNotFoundError(2, 'No such file or directory')"
