dataset,model,seed,fraction,n_train,accuracy,status,time_sec
fashion_mnist,sparse_hebbian_oja,2,0.05,3000,0.1,completed,1.2409448623657229
fashion_mnist,logistic_regression,2,0.2,12000,0.6871,completed,0.3806891441345215
fashion_mnist,mlp,2,0.2,12000,0.6834,completed,0.6281106472015381
fashion_mnist,cnn,2,0.2,12000,0.1178,completed,2.039968490600586
fashion_mnist,hebbian_oja,2,0.2,12000,0.1002,completed,2.195664167404175
fashion_mnist,sparse_hebbian_oja,2,0.2,12000,0.1,completed,2.1388096809387207
fashion_mnist,logistic_regression,2,0.5,30000,0.7454,completed,1.1354138851165771
fashion_mnist,mlp,2,0.5,30000,0.7638,completed,1.378469705581665
fashion_mnist,cnn,2,0.5,30000,0.1027,completed,4.1202898025512695
fashion_mnist,hebbian_oja,2,0.5,30000,0.1,completed,4.15657377243042
fashion_mnist,sparse_hebbian_oja,2,0.5,30000,0.0988,completed,3.4234402179718018
fashion_mnist,logistic_regression,2,1.0,60000,0.7977,completed,2.269995212554932
fashion_mnist,mlp,2,1.0,60000,0.8096,completed,2.87923264503479
fashion_mnist,cnn,2,1.0,60000,0.3567,completed,8.565511703491211
fashion_mnist,hebbian_oja,2,1.0,60000,0.1511,completed,4.18376350402832
fashion_mnist,sparse_hebbian_oja,2,1.0,60000,0.1001,completed,4.103724241256714
fashion_mnist,logistic_regression,3,0.05,3000,0.6445,completed,0.1116814613342285
fashion_mnist,mlp,3,0.05,3000,0.6494,completed,0.1361277103424072
fashion_mnist,cnn,3,0.05,3000,0.108,completed,0.4232285022735595
fashion_mnist,hebbian_oja,3,0.05,3000,0.03,completed,1.188304424285889
fashion_mnist,sparse_hebbian_oja,3,0.05,3000,0.1977,completed,2.5671277046203613
fashion_mnist,logistic_regression,3,0.2,12000,0.7039,completed,0.541557788848877
fashion_mnist,mlp,3,0.2,12000,0.688,completed,0.6776165962219238
fashion_mnist,cnn,3,0.2,12000,0.1077,completed,1.9192512035369875
fashion_mnist,hebbian_oja,3,0.2,12000,0.0843,completed,2.315875291824341
fashion_mnist,sparse_hebbian_oja,3,0.2,12000,0.0088,completed,2.418930530548096
fashion_mnist,logistic_regression,3,0.5,30000,0.755,completed,1.232126235961914
fashion_mnist,mlp,3,0.5,30000,0.7695,completed,1.2768971920013428
fashion_mnist,cnn,3,0.5,30000,0.2588,completed,4.159453868865967
fashion_mnist,hebbian_oja,3,0.5,30000,0.1,completed,3.269333839416504
fashion_mnist,sparse_hebbian_oja,3,0.5,30000,0.0967,completed,3.055881261825561
fashion_mnist,logistic_regression,3,1.0,60000,0.7967,completed,2.5479743480682373
fashion_mnist,mlp,3,1.0,60000,0.8092,completed,2.827211856842041
fashion_mnist,cnn,3,1.0,60000,0.3492,completed,9.257420539855955
fashion_mnist,hebbian_oja,3,1.0,60000,0.1349,completed,5.635364770889282
fashion_mnist,sparse_hebbian_oja,3,1.0,60000,0.1015,completed,3.975254774093628
fashion_mnist,logistic_regression,4,0.05,3000,0.6683,completed,0.1212530136108398
fashion_mnist,mlp,4,0.05,3000,0.6561,completed,0.2801227569580078
fashion_mnist,cnn,4,0.05,3000,0.1388,completed,0.4279451370239258
fashion_mnist,hebbian_oja,4,0.05,3000,0.1253,completed,1.2747361660003662
fashion_mnist,sparse_hebbian_oja,4,0.05,3000,0.1001,completed,1.094097137451172
fashion_mnist,logistic_regression,4,0.2,12000,0.6857,completed,0.5579676628112793
fashion_mnist,mlp,4,0.2,12000,0.694,completed,0.4652581214904785
fashion_mnist,cnn,4,0.2,12000,0.0995,completed,2.0293469429016118
fashion_mnist,hebbian_oja,4,0.2,12000,0.1059,completed,2.189383029937744
fashion_mnist,sparse_hebbian_oja,4,0.2,12000,0.0727,completed,2.0876660346984863
fashion_mnist,logistic_regression,4,0.5,30000,0.7419,completed,1.0505244731903076
fashion_mnist,mlp,4,0.5,30000,0.7664,completed,1.430968999862671
fashion_mnist,cnn,4,0.5,30000,0.1599,completed,3.4941327571868896
fashion_mnist,hebbian_oja,4,0.5,30000,0.1013,completed,2.701870441436768
fashion_mnist,sparse_hebbian_oja,4,0.5,30000,0.1067,completed,2.9798569679260254
fashion_mnist,logistic_regression,4,1.0,60000,0.7922,completed,3.5713419914245605
fashion_mnist,mlp,4,1.0,60000,0.8154,completed,2.868190050125122
fashion_mnist,cnn,4,1.0,60000,0.338,completed,8.638088464736938
fashion_mnist,hebbian_oja,4,1.0,60000,0.107,completed,4.220142841339111
fashion_mnist,sparse_hebbian_oja,4,1.0,60000,0.1035,completed,4.150008916854858
